method,task,learner,dpc
k_centers,sst2,microsoft/deberta-v3-base,1000
k_centers,sst2,roberta-large,1
k_centers,sst2,roberta-large,5
k_centers,sst2,roberta-large,10
k_centers,sst2,roberta-large,20
k_centers,sst2,roberta-large,50
k_centers,sst2,roberta-large,100
k_centers,sst2,roberta-large,500
k_centers,sst2,roberta-large,1000
k_centers,sst2,xlnet-base-cased,1
k_centers,sst2,xlnet-base-cased,5
k_centers,sst2,xlnet-base-cased,10
k_centers,sst2,xlnet-base-cased,20
k_centers,sst2,xlnet-base-cased,50
k_centers,sst2,xlnet-base-cased,100
k_centers,sst2,xlnet-base-cased,500
k_centers,sst2,xlnet-base-cased,1000
dilm,ag_news,albert-base-v2,1
dilm,ag_news,albert-base-v2,5
dilm,ag_news,albert-base-v2,10
dilm,ag_news,albert-base-v2,20
dilm,ag_news,albert-base-v2,50
dilm,ag_news,albert-base-v2,100
dilm,ag_news,albert-base-v2,500
dilm,ag_news,albert-base-v2,1000
dilm,ag_news,bert-base-uncased,1
dilm,ag_news,bert-base-uncased,5
dilm,ag_news,bert-base-uncased,10
dilm,ag_news,bert-base-uncased,20
dilm,ag_news,bert-base-uncased,50
dilm,ag_news,bert-base-uncased,100
dilm,ag_news,bert-base-uncased,500
dilm,ag_news,bert-base-uncased,1000
dilm,ag_news,bert-large-uncased,1
dilm,ag_news,bert-large-uncased,5
dilm,ag_news,bert-large-uncased,10
dilm,ag_news,bert-large-uncased,20
dilm,ag_news,bert-large-uncased,50
dilm,ag_news,bert-large-uncased,100
dilm,ag_news,bert-large-uncased,500
dilm,ag_news,bert-large-uncased,1000
dilm,ag_news,microsoft/deberta-v3-base,1
dilm,ag_news,microsoft/deberta-v3-base,5
dilm,ag_news,microsoft/deberta-v3-base,10
dilm,ag_news,microsoft/deberta-v3-base,20
dilm,ag_news,microsoft/deberta-v3-base,50
dilm,ag_news,microsoft/deberta-v3-base,100
dilm,ag_news,microsoft/deberta-v3-base,500
dilm,ag_news,microsoft/deberta-v3-base,1000
dilm,ag_news,roberta-base,1
dilm,ag_news,roberta-base,5
dilm,ag_news,roberta-base,10
dilm,ag_news,roberta-base,20
dilm,ag_news,roberta-base,50
dilm,ag_news,roberta-base,100
dilm,ag_news,roberta-base,500
dilm,ag_news,roberta-base,1000
dilm,ag_news,roberta-large,1
dilm,ag_news,roberta-large,5
dilm,ag_news,roberta-large,10
dilm,ag_news,roberta-large,20
dilm,ag_news,roberta-large,50
dilm,ag_news,roberta-large,100
dilm,ag_news,roberta-large,500
dilm,ag_news,roberta-large,1000
dilm,ag_news,xlnet-base-cased,1
dilm,ag_news,xlnet-base-cased,5
dilm,ag_news,xlnet-base-cased,10
dilm,ag_news,xlnet-base-cased,20
dilm,ag_news,xlnet-base-cased,50
dilm,ag_news,xlnet-base-cased,100
dilm,ag_news,xlnet-base-cased,500
dilm,ag_news,xlnet-base-cased,1000
dilm,mnli,albert-base-v2,1
dilm,mnli,albert-base-v2,5
dilm,mnli,albert-base-v2,10
dilm,mnli,albert-base-v2,20
dilm,mnli,albert-base-v2,50
dilm,mnli,albert-base-v2,100
dilm,mnli,albert-base-v2,500
dilm,mnli,albert-base-v2,1000
dilm,mnli,bert-base-uncased,1
dilm,mnli,bert-base-uncased,5
dilm,mnli,bert-base-uncased,10
dilm,mnli,bert-base-uncased,20
dilm,mnli,bert-base-uncased,50
dilm,mnli,bert-base-uncased,100
dilm,mnli,bert-base-uncased,500
dilm,mnli,bert-base-uncased,1000
dilm,mnli,bert-large-uncased,1
dilm,mnli,bert-large-uncased,5
dilm,mnli,bert-large-uncased,10
dilm,mnli,bert-large-uncased,20
dilm,mnli,bert-large-uncased,50
dilm,mnli,bert-large-uncased,100
dilm,mnli,bert-large-uncased,500
dilm,mnli,bert-large-uncased,1000
dilm,mnli,microsoft/deberta-v3-base,1
dilm,mnli,microsoft/deberta-v3-base,5
dilm,mnli,microsoft/deberta-v3-base,10
dilm,mnli,microsoft/deberta-v3-base,20
dilm,mnli,microsoft/deberta-v3-base,50
dilm,mnli,microsoft/deberta-v3-base,100
dilm,mnli,microsoft/deberta-v3-base,500
dilm,mnli,microsoft/deberta-v3-base,1000
dilm,mnli,roberta-base,1
dilm,mnli,roberta-base,5
dilm,mnli,roberta-base,10
dilm,mnli,roberta-base,20
dilm,mnli,roberta-base,50
dilm,mnli,roberta-base,100
dilm,mnli,roberta-base,500
dilm,mnli,roberta-base,1000
dilm,mnli,roberta-large,1
dilm,mnli,roberta-large,5
dilm,mnli,roberta-large,10
dilm,mnli,roberta-large,20
dilm,mnli,roberta-large,50
dilm,mnli,roberta-large,100
dilm,mnli,roberta-large,500
dilm,mnli,roberta-large,1000
dilm,mnli,xlnet-base-cased,1
dilm,mnli,xlnet-base-cased,5
dilm,mnli,xlnet-base-cased,10
dilm,mnli,xlnet-base-cased,20
dilm,mnli,xlnet-base-cased,50
dilm,mnli,xlnet-base-cased,100
dilm,mnli,xlnet-base-cased,500
dilm,mnli,xlnet-base-cased,1000
dilm,qqp,albert-base-v2,1
dilm,qqp,albert-base-v2,5
dilm,qqp,albert-base-v2,10
dilm,qqp,albert-base-v2,20
dilm,qqp,albert-base-v2,50
dilm,qqp,albert-base-v2,100
dilm,qqp,albert-base-v2,500
dilm,qqp,albert-base-v2,1000
dilm,qqp,bert-base-uncased,1
dilm,qqp,bert-base-uncased,5
dilm,qqp,bert-base-uncased,10
dilm,qqp,bert-base-uncased,20
dilm,qqp,bert-base-uncased,50
dilm,qqp,bert-base-uncased,100
dilm,qqp,bert-base-uncased,500
dilm,qqp,bert-base-uncased,1000
dilm,qqp,bert-large-uncased,1
dilm,qqp,bert-large-uncased,5
dilm,qqp,bert-large-uncased,10
dilm,qqp,bert-large-uncased,20
dilm,qqp,bert-large-uncased,50
dilm,qqp,bert-large-uncased,100
dilm,qqp,bert-large-uncased,500
dilm,qqp,bert-large-uncased,1000
dilm,qqp,microsoft/deberta-v3-base,1
dilm,qqp,microsoft/deberta-v3-base,5
dilm,qqp,microsoft/deberta-v3-base,10
dilm,qqp,microsoft/deberta-v3-base,20
dilm,qqp,microsoft/deberta-v3-base,50
dilm,qqp,microsoft/deberta-v3-base,100
dilm,qqp,microsoft/deberta-v3-base,500
dilm,qqp,microsoft/deberta-v3-base,1000
dilm,qqp,roberta-base,1
dilm,qqp,roberta-base,5
dilm,qqp,roberta-base,10
dilm,qqp,roberta-base,20
dilm,qqp,roberta-base,50
dilm,qqp,roberta-base,100
dilm,qqp,roberta-base,500
dilm,qqp,roberta-base,1000
dilm,qqp,roberta-large,1
dilm,qqp,roberta-large,5
dilm,qqp,roberta-large,10
dilm,qqp,roberta-large,20
dilm,qqp,roberta-large,50
dilm,qqp,roberta-large,100
dilm,qqp,roberta-large,500
dilm,qqp,roberta-large,1000
dilm,qqp,xlnet-base-cased,1
dilm,qqp,xlnet-base-cased,5
dilm,qqp,xlnet-base-cased,10
dilm,qqp,xlnet-base-cased,20
dilm,qqp,xlnet-base-cased,50
dilm,qqp,xlnet-base-cased,100
dilm,qqp,xlnet-base-cased,500
dilm,qqp,xlnet-base-cased,1000
dilm,sst2,albert-base-v2,1
dilm,sst2,albert-base-v2,5
dilm,sst2,albert-base-v2,10
dilm,sst2,albert-base-v2,20
dilm,sst2,albert-base-v2,50
dilm,sst2,albert-base-v2,100
dilm,sst2,albert-base-v2,500
dilm,sst2,albert-base-v2,1000
dilm,sst2,bert-base-uncased,1
dilm,sst2,bert-base-uncased,5
dilm,sst2,bert-base-uncased,10
dilm,sst2,bert-base-uncased,20
dilm,sst2,bert-base-uncased,50
dilm,sst2,bert-base-uncased,100
dilm,sst2,bert-base-uncased,500
dilm,sst2,bert-base-uncased,1000
dilm,sst2,bert-large-uncased,1
dilm,sst2,bert-large-uncased,5
dilm,sst2,bert-large-uncased,10
dilm,sst2,bert-large-uncased,20
dilm,sst2,bert-large-uncased,50
dilm,sst2,bert-large-uncased,100
dilm,sst2,bert-large-uncased,500
dilm,sst2,bert-large-uncased,1000
dilm,sst2,microsoft/deberta-v3-base,1
dilm,sst2,microsoft/deberta-v3-base,5
dilm,sst2,microsoft/deberta-v3-base,10
dilm,sst2,microsoft/deberta-v3-base,20
dilm,sst2,microsoft/deberta-v3-base,50
dilm,sst2,microsoft/deberta-v3-base,100
dilm,sst2,microsoft/deberta-v3-base,500
dilm,sst2,microsoft/deberta-v3-base,1000
dilm,sst2,roberta-base,1
dilm,sst2,roberta-base,5
dilm,sst2,roberta-base,10
dilm,sst2,roberta-base,20
dilm,sst2,roberta-base,50
dilm,sst2,roberta-base,100
dilm,sst2,roberta-base,500
dilm,sst2,roberta-base,1000
dilm,sst2,roberta-large,1
dilm,sst2,roberta-large,5
dilm,sst2,roberta-large,10
dilm,sst2,roberta-large,20
dilm,sst2,roberta-large,50
dilm,sst2,roberta-large,100
dilm,sst2,roberta-large,500
dilm,sst2,roberta-large,1000
dilm,sst2,xlnet-base-cased,1
dilm,sst2,xlnet-base-cased,5
dilm,sst2,xlnet-base-cased,10
dilm,sst2,xlnet-base-cased,20
dilm,sst2,xlnet-base-cased,50
dilm,sst2,xlnet-base-cased,100
dilm,sst2,xlnet-base-cased,500
dilm,sst2,xlnet-base-cased,1000
