method,task,learner,dpc,k,num_synthetic_examples,metric,score,score_std,accuracy_mean,accuracy_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,n_dataset,seed,selection_time_sec,eval_time_sec,elapsed_sec_mean,runs,source_path
k_centers,ag_news,bert-base-uncased,10,40,40,accuracy,0.8304824561403509,,0.8304824561403509,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-base-uncased,20,80,80,accuracy,0.8576754385964912,,0.8576754385964912,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-base-uncased,50,200,200,accuracy,0.8789473684210526,,0.8789473684210526,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-base-uncased,100,400,400,accuracy,0.880701754385965,,0.880701754385965,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-base-uncased,500,2000,2000,accuracy,0.907280701754386,,0.907280701754386,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-base-uncased,500,2000,2000,accuracy,0.9072807017543859,,0.9072807017543859,,,,,,,,,,,,scaling_laws_coreset_report/scaling_laws_all_methods.csv
k_centers,ag_news,bert-base-uncased,1000,4000,4000,accuracy,0.9112719298245614,,0.9112719298245614,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-large-uncased,1,4,4,accuracy,0.5505701754385965,,0.5505701754385965,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-large-uncased,5,20,20,accuracy,0.8016666666666667,,0.8016666666666667,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-large-uncased,10,40,40,accuracy,0.8153947368421054,,0.8153947368421054,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-large-uncased,20,80,80,accuracy,0.8310964912280703,,0.8310964912280703,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-large-uncased,50,200,200,accuracy,0.8696052631578947,,0.8696052631578947,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-large-uncased,100,400,400,accuracy,0.8804385964912281,,0.8804385964912281,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-large-uncased,500,2000,2000,accuracy,0.9036842105263158,,0.9036842105263158,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-large-uncased,1000,4000,4000,accuracy,0.9129824561403508,,0.9129824561403508,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,microsoft/deberta-v3-base,1,4,4,accuracy,0.25,,0.25,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,microsoft/deberta-v3-base,5,20,20,accuracy,0.25,,0.25,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,microsoft/deberta-v3-base,10,40,40,accuracy,0.25,,0.25,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,microsoft/deberta-v3-base,20,80,80,accuracy,0.25,,0.25,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,microsoft/deberta-v3-base,50,200,200,accuracy,0.25,,0.25,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,microsoft/deberta-v3-base,100,400,400,accuracy,0.25,,0.25,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,microsoft/deberta-v3-base,500,2000,2000,accuracy,0.25,,0.25,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,microsoft/deberta-v3-base,1000,4000,4000,accuracy,0.25,,0.25,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-base,1,4,4,accuracy,0.6037280701754385,,0.6037280701754385,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-base,5,20,20,accuracy,0.7918859649122808,,0.7918859649122808,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-base,10,40,40,accuracy,0.8459649122807017,,0.8459649122807017,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-base,20,80,80,accuracy,0.8597807017543859,,0.8597807017543859,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-base,50,200,200,accuracy,0.8804385964912281,,0.8804385964912281,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-base,100,400,400,accuracy,0.8792982456140351,,0.8792982456140351,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-base,500,2000,2000,accuracy,0.907938596491228,,0.907938596491228,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-base,1000,4000,4000,accuracy,0.9175,,0.9175,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-large,1,4,4,accuracy,0.5312719298245614,,0.5312719298245614,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,roberta-large,5,20,20,accuracy,0.8165350877192982,,0.8165350877192982,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
