method,task,learner,dpc,k,n_dataset,seed,selection_time_sec,eval_time_sec,metric,accuracy_mean,accuracy_std,scores,combined_score_mean,combined_score_std,score,score_std
herding,mnli,bert-large-uncased,10,30,1,42,0.0,81.8,accuracy,0.39589064357276277,0.030334707538981355,"[0.43861436576668367, 0.37116658176260825, 0.37789098318899644]",,,0.39589064357276277,0.030334707538981355
herding,mnli,bert-large-uncased,20,60,1,42,84.8,96.5,accuracy,0.4238070979792834,0.015217460288307989,"[0.4292409577177789, 0.4030565461029037, 0.4391237901171676]",,,0.4238070979792834,0.015217460288307989
herding,mnli,bert-large-uncased,50,150,1,42,707.5,100.5,accuracy,0.48395313295975545,0.11081049557684794,"[0.5571064696892511, 0.3273560876209883, 0.567396841569027]",,,0.48395313295975545,0.11081049557684794
herding,mnli,bert-large-uncased,100,300,1,42,877.3,111.0,accuracy,0.5294956698930209,0.01694742855416556,"[0.521650534895568, 0.5138053998981151, 0.5530310748853795]",,,0.5294956698930209,0.01694742855416556
herding,mnli,bert-large-uncased,500,1500,1,42,2635.5,118.9,accuracy,0.5704533876719307,0.17845182745317936,"[0.7028018339276617, 0.6903718797758532, 0.31818644931227713]",,,0.5704533876719307,0.17845182745317936
herding,mnli,bert-large-uncased,1000,3000,1,42,4810.1,117.7,accuracy,0.6014943114280862,0.17471155679657807,"[0.3544574630667346, 0.7289862455425369, 0.7210392256749872]",,,0.6014943114280862,0.17471155679657807
herding,mnli,microsoft/deberta-v3-base,1,3,1,42,0.0,74.4,accuracy,0.3436237052131092,0.00670808691725908,"[0.34172185430463575, 0.3365257259296994, 0.35262353540499236]",,,0.3436237052131092,0.00670808691725908
herding,mnli,microsoft/deberta-v3-base,5,15,1,42,0.0,74.0,accuracy,0.39310579045678384,0.017277690089895936,"[0.40101884870096793, 0.40916963830871117, 0.3691288843606724]",,,0.39310579045678384,0.017277690089895936
herding,mnli,microsoft/deberta-v3-base,10,30,1,42,0.0,76.4,accuracy,0.40492443538801154,0.002468241441413709,"[0.40376974019358125, 0.40835455934793685, 0.40264900662251657]",,,0.40492443538801154,0.002468241441413709
herding,mnli,microsoft/deberta-v3-base,20,60,1,42,0.0,83.2,accuracy,0.41579215486500254,0.020865762702166134,"[0.38818135506877227, 0.42058074375955173, 0.43861436576668367]",,,0.41579215486500254,0.020865762702166134
